Nome, Numero_Casamentos, Algoritmo_1_Linear_Sem_Cores, Algoritmo_1_Linear_Com_Cores, Algoritmo_1_Paralelo, Algoritmo_2_Linear, Algoritmo_2_Paralelo, Algoritmo_3, Melhor
im.txt, 2, 0, 0, 0, 1.598s, 0.645s, 3.544s, A1L_Sem_Cores
kraho.txt, 1, 0, 0, 0, 2.294s, 2.837s, 3.167s, A1L_Sem_Cores
kraho.txt, 2, 0, 0, 0, 36.25s, 11.372s, 33.566s, A1L_Sem_Cores
marcapata.txt, 1, 0, 0, 0, 5.872s, 5.967s, 6.09s, A1L_Sem_Cores
marcapata.txt, 2, 0, 0, 0, 70.156s, 25.379s, 199.287s, A1L_Sem_Cores
mbya.txt, 1, 0, 0, 0, 1.791s, 1.816s, 1.858s, A1L_Sem_Cores
mbya.txt, 2, 0, 0, 0, 9.88s, 4.267s, 24.616s, A1L_Sem_Cores
xv.txt, 1, 0, 0, 0, 0.154s, 0.146s, 0.149s, A1L_Sem_Cores
xv.txt, 2, 0, 0, 0, 2.437s, 0.79s, 5.039s, A1L_Sem_Cores
zo.txt, 1, 0, 0, 0, 0.466s, 0.456s, 0.544s, A1L_Sem_Cores
zo.txt, 2, 0, 0, 0, 1.983s, 0.829s, 4.445s, A1L_Sem_Cores



