2037, 3237, m, 4248, f, 3977, m, 6658, f, 3237 5066 3977 6658 6659 6684 6305 4248 , m3237 (f5066) m3977 f6658 m6659 (m6684) f6305 f4248 , MSWFFDD, 3237 4248, 3977 6658, G0, 1, G0, 2, 3, 4
2038, 3237, m, 4248, f, 3977, m, 6658, f, 3237 5066 3977 6658 6659 6685 6305 4248 , m3237 (f5066) m3977 f6658 m6659 (f6685) f6305 f4248 , MSWFMDD, 3237 4248, 3977 6658, G0, 1, G0, 2, 3, 4
2047, 3389, m, 6207, f, 5077, m, 6700, f, 3389 6205 7858 6700 5077 6570 6208 6207 , m3389 m6205 (m7858) f6700 m5077 (m6570) m6208 f6207 , FFDHFSD, 3389 6207, 5077 6700, G1, 1, G-1, 1, 4, 3
2048, 3389, m, 6207, f, 5077, m, 6700, f, 3389 6205 7858 6700 5077 6571 6208 6207 , m3389 m6205 (m7858) f6700 m5077 (f6571) m6208 f6207 , FFDHMSD, 3389 6207, 5077 6700, G1, 1, G-1, 1, 4, 3
2049, 3389, m, 6207, f, 5077, m, 6700, f, 3389 6205 7859 6700 5077 6570 6208 6207 , m3389 m6205 (f7859) f6700 m5077 (m6570) m6208 f6207 , FMDHFSD, 3389 6207, 5077 6700, G1, 1, G-1, 1, 4, 3
2050, 3389, m, 6207, f, 5077, m, 6700, f, 3389 6205 7859 6700 5077 6571 6208 6207 , m3389 m6205 (f7859) f6700 m5077 (f6571) m6208 f6207 , FMDHMSD, 3389 6207, 5077 6700, G1, 1, G-1, 1, 4, 3
2051, 3389, m, 6207, f, 6205, m, 8357, f, 3389 6205 8357 6570 6208 6207 , m3389 (m6205) f8357 (m6570) m6208 f6207 , FWFSD, 3389 6207, 6205 8357, G1, 0, G-1, 1, 2, 3
2052, 3389, m, 6207, f, 6205, m, 8357, f, 3389 6205 8357 6571 6208 6207 , m3389 (m6205) f8357 (f6571) m6208 f6207 , FWMSD, 3389 6207, 6205 8357, G1, 0, G-1, 1, 2, 3
2059, 3613, m, 3614, f, 7473, m, 6159, f, 3613 6879 7473 6159 6812 6882 3614 , m3613 (m6879) m7473 f6159 (m6812) f6882 f3614 , FSWFDD, 3613 3614, 6159 7473, G0, 1, G-1, 1, 3, 3
2060, 3613, m, 3614, f, 7473, m, 6159, f, 3613 6879 7473 6159 6813 6882 3614 , m3613 (m6879) m7473 f6159 (f6813) f6882 f3614 , FSWMDD, 3613 3614, 6159 7473, G0, 1, G-1, 1, 3, 3
2061, 3613, m, 3614, f, 7473, m, 6159, f, 3613 6880 7473 6159 6812 6882 3614 , m3613 (f6880) m7473 f6159 (m6812) f6882 f3614 , MSWFDD, 3613 3614, 6159 7473, G0, 1, G-1, 1, 3, 3
2062, 3613, m, 3614, f, 7473, m, 6159, f, 3613 6880 7473 6159 6813 6882 3614 , m3613 (f6880) m7473 f6159 (f6813) f6882 f3614 , MSWMDD, 3613 3614, 6159 7473, G0, 1, G-1, 1, 3, 3
2063, 3674, m, 3675, f, 5086, m, 5087, f, 3674 6601 7794 5087 5086 6564 3675 , m3674 f6601 (m7794) f5087 m5086 (m6564) f3675 , MFDHFD, 3674 3675, 5086 5087, G1, 1, G0, 1, 4, 2
