Anel, Ego0, SxEgo0, Alter0, SxAlter0, Ego1, SxEgo1, Alter1, SxAlter1, Percurso, BarryPercurso, Parente, Casal0, Casal1, Geração0, Lateral0, Geração1, Lateral1, Cnx0, Cnx1
1383, 2671, m, 2675, f, 2464, m, 2461, f, 2671 2517 2512 2464 2461 2219 2605 6117 2526 2527 2677 2675 , m2671 m2517 (m2512) m2464 f2461 m2219 f2605 (f6117) f2526 m2527 f2677 f2675 , FFSWFMMDSDD, 2671 2675, 2461 2464, G1, 1, G-1, 3, 4, 7
1384, 2671, m, 2675, f, 2464, m, 2461, f, 2671 2517 2515 2464 2461 2219 2605 6117 2526 2527 2677 2675 , m2671 m2517 (f2515) m2464 f2461 m2219 f2605 (f6117) f2526 m2527 f2677 f2675 , FMSWFMMDSDD, 2671 2675, 2461 2464, G1, 1, G-1, 3, 4, 7
1385, 2466, m, 2463, f, 2462, m, 2465, f, 2466 2208 2194 2178 2465 2462 2219 2463 , m2466 m2208 (m2194) f2178 f2465 m2462 (m2219) f2463 , FFDDHFD, 2463 2466, 2462 2465, G0, 2, G0, 1, 5, 2
1386, 2466, m, 2463, f, 2462, m, 2465, f, 2466 2208 2195 2178 2465 2462 2219 2463 , m2466 m2208 (f2195) f2178 f2465 m2462 (m2219) f2463 , FMDDHFD, 2463 2466, 2462 2465, G0, 2, G0, 1, 5, 2
1387, 2466, m, 2463, f, 2462, m, 2465, f, 2466 2208 2194 2178 2465 2462 2220 2463 , m2466 m2208 (m2194) f2178 f2465 m2462 (f2220) f2463 , FFDDHMD, 2463 2466, 2462 2465, G0, 2, G0, 1, 5, 2
1388, 2466, m, 2463, f, 2462, m, 2465, f, 2466 2208 2195 2178 2465 2462 2220 2463 , m2466 m2208 (f2195) f2178 f2465 m2462 (f2220) f2463 , FMDDHMD, 2463 2466, 2462 2465, G0, 2, G0, 1, 5, 2
1389, 2462, m, 2465, f, 2478, m, 2482, f, 2462 2219 2604 2482 2478 2474 2475 2202 2195 2178 2465 , m2462 m2219 (m2604) f2482 m2478 m2474 (m2475) m2202 f2195 f2178 f2465 , FFDHFFSDDD, 2462 2465, 2478 2482, G1, 1, G-2, 2, 4, 6
1390, 2462, m, 2465, f, 2478, m, 2482, f, 2462 2219 2604 2482 2478 2474 2476 2202 2195 2178 2465 , m2462 m2219 (m2604) f2482 m2478 m2474 (f2476) m2202 f2195 f2178 f2465 , FFDHFMSDDD, 2462 2465, 2478 2482, G1, 1, G-2, 2, 4, 6
1391, 2462, m, 2465, f, 2478, m, 2482, f, 2462 2219 2605 2482 2478 2474 2475 2202 2195 2178 2465 , m2462 m2219 (f2605) f2482 m2478 m2474 (m2475) m2202 f2195 f2178 f2465 , FMDHFFSDDD, 2462 2465, 2478 2482, G1, 1, G-2, 2, 4, 6
1392, 2462, m, 2465, f, 2478, m, 2482, f, 2462 2219 2605 2482 2478 2474 2476 2202 2195 2178 2465 , m2462 m2219 (f2605) f2482 m2478 m2474 (f2476) m2202 f2195 f2178 f2465 , FMDHFMSDDD, 2462 2465, 2478 2482, G1, 1, G-2, 2, 4, 6
1393, 2462, m, 2465, f, 2485, m, 2614, f, 2462 2219 2605 2607 2526 2529 2614 2485 2198 2196 2194 2178 2465 , m2462 m2219 f2605 (m2607) f2526 m2529 f2614 m2485 m2198 (m2196) m2194 f2178 f2465 , FMFDSDHFFSDD, 2462 2465, 2485 2614, G0, 3, G-1, 2, 7, 5
